*INFO* 	2017/03/03 - 15:43:41: -------------------------------------------
*INFO* 	2017/03/03 - 15:43:41: 
*INFO* 	2017/03/03 - 15:43:41: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 15:45:01: -------------------------------------------
*INFO* 	2017/03/03 - 15:45:01: 
*INFO* 	2017/03/03 - 15:45:01: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 16:52:55: -------------------------------------------
*INFO* 	2017/03/03 - 16:52:55: 
*INFO* 	2017/03/03 - 16:52:55: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 17:45:41: -------------------------------------------
*INFO* 	2017/03/03 - 17:45:41: 
*INFO* 	2017/03/03 - 17:45:41: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 18:26:22: -------------------------------------------
*INFO* 	2017/03/03 - 18:26:22: 
*INFO* 	2017/03/03 - 18:26:22: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 18:27:23: -------------------------------------------
*INFO* 	2017/03/03 - 18:27:23: 
*INFO* 	2017/03/03 - 18:27:23: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 18:54:56: -------------------------------------------
*INFO* 	2017/03/03 - 18:54:56: 
*INFO* 	2017/03/03 - 18:54:56: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 19:39:25: -------------------------------------------
*INFO* 	2017/03/03 - 19:39:25: 
*INFO* 	2017/03/03 - 19:39:25: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 19:39:44: -------------------------------------------
*INFO* 	2017/03/03 - 19:39:44: 
*INFO* 	2017/03/03 - 19:39:44: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 19:40:56: -------------------------------------------
*INFO* 	2017/03/03 - 19:40:56: 
*INFO* 	2017/03/03 - 19:40:56: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 19:41:48: -------------------------------------------
*INFO* 	2017/03/03 - 19:41:48: 
*INFO* 	2017/03/03 - 19:41:48: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 21:42:32: -------------------------------------------
*INFO* 	2017/03/03 - 21:42:32: 
*INFO* 	2017/03/03 - 21:42:32: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 21:45:26: -------------------------------------------
*INFO* 	2017/03/03 - 21:45:26: 
*INFO* 	2017/03/03 - 21:45:26: Perks Customer Logged In. IP Address: ::1
*INFO* 	2017/03/03 - 21:49:42: -------------------------------------------
*INFO* 	2017/03/03 - 21:49:42: 
*INFO* 	2017/03/03 - 21:49:42: Perks Customer Logged In. IP Address: ::1
